03-28-2017 | 11:32:11 |   103.58.74.234|guest|LogIn|http://accounts.dftexltd.com|Google Chrome|windows|||
03-28-2017 | 13:10:45 |   103.4.146.142|guest|LogIn|http://accounts.dftexltd.com|Mozilla Firefox|windows|||
03-28-2017 | 13:11:00 |   103.4.146.142|guest|LogIn|http://accounts.dftexltd.com/login|Mozilla Firefox|windows|||
03-28-2017 | 13:11:01 |   103.4.146.142|guest|Dashboard|http://accounts.dftexltd.com/dashboard/admin/faysal_ahammad|Mozilla Firefox|windows|||
03-28-2017 | 13:11:14 |   103.4.146.142|guest|All Report Summary|http://accounts.dftexltd.com/dashboard/admin/today/all-report/summary|Mozilla Firefox|windows|||
03-28-2017 | 13:11:14 |   103.4.146.142|guest|Line Chart Report|http://accounts.dftexltd.com/dashboard/admin/line-graph/chart|Mozilla Firefox|windows|||
03-28-2017 | 13:20:41 |   103.4.146.142|guest|Event Logs|http://accounts.dftexltd.com/system-admin/event-logs|Mozilla Firefox|windows|||
03-28-2017 | 13:21:09 |   103.4.146.142|guest|Event Logs|http://accounts.dftexltd.com/system-admin/event-logs?_token=DlMfeNDtJs79waWPc4FPdsiNKdSUNcklGFLqw6Aq&form_search_date=2017-03-04&to_search_date=2017-03-28&user_name=|Mozilla Firefox|windows|||
03-28-2017 | 13:21:23 |   103.4.146.142|guest|Event Logs|http://accounts.dftexltd.com/system-admin/event-logs?form_search_date=2017-03-04&page=2&to_search_date=2017-03-28|Mozilla Firefox|windows|||
03-28-2017 | 13:21:59 |   103.4.146.142|guest|All Customer|http://accounts.dftexltd.com/customer/list|Mozilla Firefox|windows|||
03-28-2017 | 13:22:15 |   103.4.146.142|guest|Category Settings|http://accounts.dftexltd.com/inventory/category/settings|Mozilla Firefox|windows|||
03-28-2017 | 13:22:31 |   103.4.146.142|guest|Logout|http://accounts.dftexltd.com/logout/faysal_ahammad|Mozilla Firefox|windows|||
03-28-2017 | 13:22:32 |   103.4.146.142|guest|LogIn|http://accounts.dftexltd.com/login|Mozilla Firefox|windows|||
03-28-2017 | 13:28:27 |   103.4.146.142|guest|LogIn|http://accounts.dftexltd.com|Mozilla Firefox|windows|||
